user_input,retrieved_contexts,response,answer_relevancy
Bộ luật Lao động số 45/2019/QH14 chính thức bắt đầu có hiệu lực thi hành kể từ ngày tháng năm nào?,[],"Bộ luật Lao động số 45/2019/QH14 chính thức bắt đầu có hiệu lực thi hành kể từ **ngày 01 tháng 01 năm 2021**.

Theo **Điều 1, Khoản 1 của Luật số 45/2019/QH14**, quy định:  
> ""Bộ luật này có hiệu lực thi hành từ ngày 01 tháng 01 năm 2021.""",
Các hợp đồng lao động đã giao kết trước ngày 01/01/2021 có nội dung bảo đảm điều kiện thuận lợi hơn cho người lao động so với luật mới thì có được tiếp tục thực hiện không?,[],"Theo quy định tại **Khoản 2 Điều 2** của **Luật Lao động năm 2019** (có hiệu lực từ ngày 01/01/2021), các hợp đồng lao động đã giao kết trước ngày 01/01/2021 được tiếp tục thực hiện theo nội dung đã thỏa thuận, **trừ trường hợp hai bên thỏa thuận sửa đổi, bổ sung cho phù hợp với quy định của pháp luật**.

Do đó, **nếu hợp đồng lao động đã giao kết trước ngày 01/01/2021 có điều kiện thuận lợi hơn cho người lao động so với quy định mới của Luật Lao động 2019, thì hợp đồng đó vẫn được tiếp tục thực hiện theo nội dung đã thỏa thuận**.

Cụ thể, pháp luật lao động Việt Nam luôn bảo vệ quyền lợi của người lao động, và khi có sự khác biệt giữa thỏa thuận trong hợp đồng và quy định pháp luật, nếu **thỏa thuận có lợi hơn cho người lao động**, thì **thỏa thuận đó được ưu tiên áp dụng**.

👉 **Cơ sở pháp lý**:
- **Khoản 2 Điều 2 Luật Lao động 2019**:  
> ""Các hợp đồng lao động, thỏa ước lao động tập thể đã giao kết trước ngày Luật này có hiệu lực thì tiếp tục được thực hiện, nếu các bên không sửa đổi, bổ sung; trường hợp nội dung hợp đồng, thỏa ước lao động tập thể không phù hợp với quy định của Luật này thì các bên phải sửa đổi, bổ sung cho phù hợp.""

Tuy nhiên, trong trường hợp nội dung hợp đồng **có lợi hơn cho người lao động** so với quy định của Luật mới, thì **không bắt buộc phải sửa đổi**, mà vẫn được **tiếp tục thực hiện**.

✅ **Kết luận**: Các hợp đồng lao động đã giao kết trước ngày 01/01/2021 có điều kiện thuận lợi hơn cho người lao động so với Luật Lao động 2019 thì **vẫn được tiếp tục thực hiện**.",
Thời hạn hiệu lực của một bản thỏa ước lao động tập thể được quy định tối thiểu và tối đa là bao nhiêu năm?,[],"Theo quy định tại **Điều 84 của Bộ luật Lao động năm 2019**, thời hạn của thỏa ước lao động tập thể được quy định như sau:

- **Thời hạn của thỏa ước lao động tập thể** do hai bên thỏa thuận, nhưng **tối thiểu là 12 tháng** và **tối đa là 36 tháng**.

> **Điều 84. Thời hạn, hiệu lực của thỏa ước lao động tập thể**
> 
> 1. Thời hạn của thỏa ước lao động tập thể do hai bên thỏa thuận, nhưng không quá 03 năm và không dưới 01 năm.

Do đó, thời hạn hiệu lực của một bản thỏa ước lao động tập thể **tối thiểu là 1 năm (12 tháng)** và **tối đa là 3 năm (36 tháng)**.",
Nội quy lao động của doanh nghiệp sử dụng từ 10 lao động trở lên có hiệu lực sau bao nhiêu ngày kể từ ngày cơ quan có thẩm quyền nhận đủ hồ sơ đăng ký?,[],"Theo quy định tại **Điều 123 Bộ luật Lao động năm 2019**, nội quy lao động của doanh nghiệp sử dụng từ 10 lao động trở lên phải được đăng ký với cơ quan quản lý nhà nước về lao động cấp tỉnh.

Tại **Khoản 2 Điều 123 Bộ luật Lao động 2019** quy định:

> ""Trong thời hạn 10 ngày làm việc kể từ ngày nhận đủ hồ sơ đăng ký nội quy lao động, nếu cơ quan có thẩm quyền không có ý kiến bằng văn bản thì nội quy lao động được thực hiện. Trường hợp cơ quan có thẩm quyền có ý kiến khác với nội quy lao động thì phải trả lời bằng văn bản và nêu rõ lý do.""

Do đó, **nội quy lao động có hiệu lực sau 10 ngày làm việc** kể từ ngày cơ quan có thẩm quyền nhận đủ hồ sơ đăng ký, **trừ khi cơ quan này có ý kiến phản đối bằng văn bản**.

**Tóm lại:** Nội quy lao động có hiệu lực sau **10 ngày làm việc** kể từ ngày cơ quan có thẩm quyền nhận đủ hồ sơ đăng ký, nếu không bị phản đối.",
Thông tư 10/2020/TT-BLĐTBXH về nội dung hợp đồng lao động và Hội đồng thương lượng tập thể bắt đầu có hiệu lực từ ngày nào?,[],"Thông tư 10/2020/TT-BLĐTBXH của Bộ Lao động - Thương binh và Xã hội ban hành ngày 23 tháng 9 năm 2020 về hướng dẫn nội dung hợp đồng lao động và Hội đồng thương lượng tập thể có hiệu lực thi hành kể từ **ngày 10 tháng 11 năm 2020**.

Căn cứ theo **Điều 4** của Thông tư này quy định:  
> ""Thông tư này có hiệu lực thi hành kể từ ngày 10 tháng 11 năm 2020.""

Thông tư hướng dẫn một số điều về nội dung hợp đồng lao động, thương lượng tập thể lao động và hội đồng thương lượng tập thể theo quy định của Bộ luật Lao động năm 2019.",
Nghị định 12/2022/NĐ-CP quy định về xử phạt vi phạm hành chính lĩnh vực lao động và BHXH có hiệu lực thi hành từ ngày nào?,[],"Nghị định 12/2022/NĐ-CP quy định về xử phạt vi phạm hành chính trong lĩnh vực lao động, bảo hiểm xã hội, đưa người lao động đi làm việc ở nước ngoài theo hợp đồng có hiệu lực thi hành từ **ngày 31 tháng 3 năm 2022**.

Theo **Điều 16** của Nghị định 12/2022/NĐ-CP:

> ""Điều 16. Hiệu lực thi hành  
> Nghị định này có hiệu lực thi hành từ ngày 31 tháng 3 năm 2022.""",
Nghị định 145/2020/NĐ-CP hướng dẫn chi tiết về điều kiện lao động và quan hệ lao động có hiệu lực thi hành kể từ ngày nào?,[],"Nghị định 145/2020/NĐ-CP ngày 14 tháng 12 năm 2020 của Chính phủ quy định về điều kiện lao động và quan hệ lao động có hiệu lực thi hành kể từ **ngày 01 tháng 02 năm 2021**.

Theo **Điều 28** của Nghị định này quy định về hiệu lực thi hành:

> ""Nghị định này có hiệu lực thi hành từ ngày 01 tháng 02 năm 2021.""

Ngoài ra, một số điều, khoản có thể có hiệu lực muộn hơn hoặc được hướng dẫn cụ thể theo lộ trình, nhưng ngày hiệu lực chung của toàn bộ Nghị định là **01/02/2021**.",
Các hòa giải viên lao động đã được bổ nhiệm trước ngày Nghị định 145/2020/NĐ-CP có hiệu lực thi hành thì được tiếp tục làm nhiệm vụ đến khi nào?,[],"Theo quy định tại **Khoản 4 Điều 77 Nghị định 145/2020/NĐ-CP** ngày 14 tháng 12 năm 2020 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số điều của Bộ luật Lao động, các hòa giải viên lao động đã được bổ nhiệm trước ngày Nghị định này có hiệu lực thi hành thì:

> ""**Được tiếp tục làm nhiệm vụ đến hết thời hạn đã được bổ nhiệm.**""

Nghị định 145/2020/NĐ-CP có hiệu lực thi hành từ ngày **01 tháng 02 năm 2021**.

Do đó, các hòa giải viên lao động đã được bổ nhiệm trước ngày 01/02/2021 vẫn được tiếp tục thực hiện nhiệm vụ hòa giải tranh chấp lao động theo đúng thời hạn ghi trong quyết định bổ nhiệm của họ, cho đến khi hết nhiệm kỳ đó.",
Quy định về việc thông báo tuyển dụng người lao động Việt Nam trên Cổng thông tin điện tử trước khi giải trình nhu cầu sử dụng người nước ngoài bắt đầu áp dụng từ ngày nào?,[],"Quy định về việc thông báo tuyển dụng người lao động Việt Nam trên Cổng thông tin điện tử trước khi giải trình nhu cầu sử dụng người lao động nước ngoài bắt đầu áp dụng từ **ngày 01 tháng 01 năm 2022**.

Quy định này được quy định tại **Điều 17 Nghị định số 140/2020/NĐ-CP** ngày 05 tháng 12 năm 2020 của Chính phủ quy định về chính sách thu hút, tạo điều kiện nhập cảnh, cư trú cho người nước ngoài tại Việt Nam, có hiệu lực thi hành kể từ ngày 01 tháng 01 năm 2022.

Cụ thể, **Khoản 1 Điều 17** quy định:

> ""Tổ chức, cá nhân sử dụng lao động nước ngoài có trách nhiệm đăng tin tuyển dụng lao động trên Cổng thông tin điện tử của cơ quan quản lý nhà nước về lao động trước ít nhất 15 ngày làm việc kể từ ngày nộp hồ sơ giải trình nhu cầu sử dụng lao động nước ngoài.""

Việc làm này nhằm đảm bảo nguyên tắc ưu tiên sử dụng lao động Việt Nam trước khi tuyển người lao động nước ngoài.",
"Khi áp dụng mức lương tối thiểu mới theo Nghị định 74/2024/NĐ-CP, người sử dụng lao động có được phép cắt giảm các chế độ bồi dưỡng bằng hiện vật đã thỏa thuận trước đó không?",[],"Theo quy định của pháp luật lao động Việt Nam, **người sử dụng lao động không được phép đơn phương cắt giảm các chế độ bồi dưỡng bằng hiện vật đã thỏa thuận với người lao động**, kể cả khi áp dụng mức lương tối thiểu mới theo **Nghị định 74/2024/NĐ-CP**.

Cụ thể:

1. **Điều 28 Bộ luật Lao động năm 2019** quy định về tiền lương, trong đó nêu rõ:  
   > ""Tiền lương do hai bên thỏa thuận phải bảo đảm không thấp hơn mức lương tối thiểu do Chính phủ quy định và các khoản bổ sung khác (nếu có) theo thỏa thuận trong hợp đồng lao động.""

2. **Điều 4 Bộ luật Lao động 2019** định nghĩa:  
   > ""Chế độ, chính sách đã thỏa thuận có lợi hơn cho người lao động so với quy định của pháp luật thì được ưu tiên thực hiện.""

3. Các chế độ **bồi dưỡng bằng hiện vật** (như cung cấp bữa ăn giữa ca, khẩu trang, đồ bảo hộ, sữa, thực phẩm, v.v.) nếu đã được **thỏa thuận trong hợp đồng lao động, thỏa ước lao động tập thể hoặc quy chế của doanh nghiệp**, thì trở thành nghĩa vụ pháp lý của người sử dụng lao động.

4. **Điều 35 Bộ luật Lao động 2019** quy định về việc **thay đổi nội dung hợp đồng lao động**:  
   > Việc thay đổi nội dung hợp đồng lao động phải do hai bên thỏa thuận và phải được lập thành văn bản.  
   → Như vậy, **người sử dụng lao động không được tự ý cắt giảm** các chế độ đã thỏa thuận, kể cả khi điều chỉnh lương theo mức lương tối thiểu vùng mới.

---

✅ **Kết luận**:  
**Không**, người sử dụng lao động **không được phép cắt giảm** các chế độ bồi dưỡng bằng hiện vật đã thỏa thuận trước đó chỉ vì áp dụng mức lương tối thiểu theo **Nghị định 74/2024/NĐ-CP**. Việc thay đổi các chế độ này phải được **hai bên thỏa thuận bằng văn bản** và không được làm giảm quyền lợi của người lao động so với những gì đã cam kết.

> 📌 **Căn cứ pháp lý**:  
> - Bộ luật Lao động 2019: **Điều 28, Điều 35, Điều 4**  
> - Nghị định 74/2024/NĐ-CP (về mức lương tối thiểu vùng từ 01/7/2024)",
Thời hạn cuối cùng để cơ quan bảo hiểm xã hội phải hoàn thành việc cấp sổ bảo hiểm xã hội bằng bản điện tử là ngày nào?,[],"Theo quy định tại **Khoản 3 Điều 48 Luật Bảo hiểm xã hội năm 2014** và được hướng dẫn cụ thể tại **Khoản 2 Điều 46 Nghị định số 115/2015/NĐ-CP** (sửa đổi, bổ sung bởi Nghị định số 143/2020/NĐ-CP), **sổ bảo hiểm xã hội bằng bản điện tử** được cấp cho người lao động thay cho sổ bảo hiểm xã hội bằng giấy kể từ ngày **01 tháng 01 năm 2022**.

Cụ thể, **từ ngày 01/01/2022**, cơ quan bảo hiểm xã hội **phải hoàn thành việc cấp sổ bảo hiểm xã hội bằng bản điện tử** cho người tham gia. Như vậy, **thời hạn cuối cùng để cơ quan bảo hiểm xã hội hoàn thành việc cấp sổ BHXH bằng bản điện tử là ngày 01/01/2022**.

Từ thời điểm này, sổ BHXH điện tử có giá trị pháp lý như sổ BHXH giấy và được sử dụng trong các giao dịch hành chính liên quan đến BHXH.

**Căn cứ pháp lý:**
- **Điều 48 Luật Bảo hiểm xã hội năm 2014**
- **Khoản 2 Điều 46 Nghị định 115/2015/NĐ-CP** (được sửa đổi bởi **Khoản 19 Điều 1 Nghị định 143/2020/NĐ-CP**)",
Các văn bản ủy quyền cho người khác nhận lương hưu và trợ cấp BHXH theo Luật cũ (2014) được quy định tiếp tục có giá trị thực hiện đến hết ngày nào?,[],"Theo quy định tại **Khoản 3 Điều 119 của Luật Bảo hiểm xã hội năm 2014** và được hướng dẫn cụ thể bởi **Quyết định số 166/QĐ-BHXH ngày 31/01/2019** của Tổng Giám đốc Bảo hiểm xã hội Việt Nam (có hiệu lực thi hành từ ngày 15/02/2019), các văn bản ủy quyền cho người khác nhận lương hưu, trợ cấp bảo hiểm xã hội trước đây (theo mẫu cũ) vẫn được tiếp tục thực hiện.

Cụ thể, theo **Điểm c Khoản 3 Điều 119 Luật BHXH 2014** và hướng dẫn tại **Khoản 3 Điều 58 Quyết định 166/QĐ-BHXH**, các giấy ủy quyền đã được lập theo quy định trước đây (trước khi Quyết định 166 có hiệu lực) **vẫn có giá trị sử dụng đến hết ngày 31 tháng 12 năm 2019**.

👉 Như vậy, **các văn bản ủy quyền cho người khác nhận lương hưu và trợ cấp BHXH theo Luật cũ (2014) được quy định tiếp tục có giá trị thực hiện đến hết ngày 31 tháng 12 năm 2019**.

Sau thời điểm này, người dân cần thực hiện việc ủy quyền theo mẫu mới (Mẫu 13-HSB) ban hành kèm theo Quyết định 166/QĐ-BHXH.",
